transaction_id,amount,country,hour,device_type,failed_attempts,is_foreign,high_risk_merchant,is_fraud
1,76874,PE,20,Android,0,0,0,0
2,35936,CL,17,Android,1,1,0,0
3,29847,AR,18,Android,0,0,0,0
4,43892,AR,7,Android,1,0,0,0
5,51509,CL,11,iOS,0,0,0,0
6,35064,AR,12,Android,1,0,0,0
7,35862,AR,20,iOS,1,0,0,0
8,1516351,NG,0,Android,4,1,0,1
9,199592,ES,21,Android,0,1,0,0
10,54604,BR,19,iOS,1,0,0,0
11,31504,PE,8,Windows,0,0,0,0
12,3153,PE,9,Android,0,1,1,0
13,284149,CO,21,Android,1,0,0,0
14,187491,CL,20,iOS,1,0,0,0
15,169160,AR,18,Web,0,0,0,0
16,101952,CL,7,Android,1,0,0,0
17,27694,AR,11,iOS,0,0,1,0
18,44893,MX,14,Android,0,0,0,0
19,44656,MX,16,Android,0,0,0,0
20,6781,BR,20,iOS,1,0,0,0
21,15654,CL,21,iOS,0,0,0,0
22,134643,US,15,iOS,1,0,0,0
23,203889,MX,12,Web,1,1,0,0
24,60859,CL,16,Web,0,0,0,0
25,18160,CL,17,iOS,0,0,0,0
26,18608,AR,15,Web,1,0,0,0
27,37355,CL,11,Android,0,0,0,0
28,280846,AR,19,Android,1,0,0,0
29,31221,CL,8,iOS,0,1,1,0
30,115915,MX,8,Android,0,0,0,0
31,397117,MX,12,iOS,1,0,1,0
32,9908,CL,13,Android,1,0,0,0
33,14898,MX,10,iOS,1,0,0,0
34,47365,US,12,Android,1,0,0,0
35,35804,CL,18,iOS,0,0,0,0
36,42988,US,18,iOS,1,1,0,0
37,71651,RO,4,iOS,5,1,0,1
38,155377,AR,22,Android,0,0,0,0
39,11265,DE,13,iOS,0,0,0,0
40,663395,AR,15,iOS,1,0,0,0
41,30782,AR,22,Android,0,0,0,0
42,29647,AR,21,Android,1,0,0,0
43,5871,CL,17,iOS,0,0,0,0
44,110684,CL,20,Web,1,0,0,0
45,18261,BR,22,iOS,0,0,0,0
46,39145,CO,19,iOS,0,0,0,0
47,10702,BR,20,Android,0,0,0,0
48,123439,CO,18,Android,0,0,0,0
49,22460,CL,18,Android,1,0,0,0
50,66769,BR,20,iOS,0,0,0,0
51,52568,AR,10,Android,0,0,0,0
52,298042,CL,18,iOS,1,0,0,0
53,73815,BR,15,iOS,1,1,0,0
54,78907,CL,9,Android,1,0,1,0
55,60001,FR,20,iOS,0,0,0,0
56,995006,NG,1,Unknown,3,0,1,1
57,34307,CO,8,iOS,1,0,0,0
58,55598,CL,10,Android,0,1,0,0
59,4864,CL,7,Android,1,0,0,0
60,47195,PE,12,iOS,0,0,0,0
61,9676,CL,7,Android,1,0,0,0
62,209696,CL,15,iOS,0,0,0,0
63,76823,CO,14,Android,0,0,0,0
64,28202,CL,21,iOS,1,0,0,0
65,23932,CL,20,iOS,0,0,0,0
66,14519,CL,9,iOS,0,0,0,0
67,21944,CL,15,iOS,1,0,0,0
68,182275,US,21,iOS,1,0,0,0
69,7816,CL,15,Web,0,1,0,0
70,15620,CL,12,Android,1,0,0,0
71,17842,CL,14,Android,1,0,0,0
72,6513,US,19,Android,0,0,0,0
73,111606,AR,8,iOS,1,1,1,0
74,71751,MX,22,Web,1,1,0,0
75,26879,CL,10,Web,0,1,1,0
76,12468,BR,11,iOS,0,0,0,0
77,70002,CO,21,Web,0,0,0,0
78,144048,CL,15,Web,0,1,0,0
79,41597,CL,8,iOS,0,0,1,0
80,64673,BR,13,Web,0,0,0,0
81,17989,CL,7,Windows,0,0,0,0
82,100735,CL,20,iOS,1,0,1,0
83,5975,CL,8,iOS,0,0,0,0
84,96543,CL,18,Android,1,0,0,0
85,439879,AR,10,iOS,1,0,0,0
86,2924,CL,10,Web,1,0,0,0
87,448340,CL,21,Web,0,1,0,0
88,18334,CL,10,Android,0,0,0,0
89,33000,AR,7,Web,1,0,0,0
90,111926,BR,14,Windows,1,0,1,0
91,20379,PE,15,Web,0,0,1,0
92,14969,CL,18,iOS,0,0,0,0
93,50441,PE,17,iOS,0,0,0,0
94,173755,PE,9,iOS,0,0,1,0
95,6805,CL,15,Web,1,0,0,0
96,6495,BR,7,Windows,0,0,0,0
97,22693,CO,12,Android,1,0,0,0
98,34093,CL,20,Web,0,1,0,0
99,21843,CL,17,Web,1,0,0,0
100,4330,US,13,Web,0,0,0,0
101,127257,MX,19,Android,1,0,0,0
102,6694,MX,13,Windows,1,0,0,0
103,33545,AR,12,Web,1,0,0,0
104,48201,AR,14,iOS,1,0,0,0
105,9504,PE,19,Web,0,0,0,0
106,201632,CO,14,iOS,1,0,0,0
107,28127,US,8,iOS,1,0,1,0
108,67895,CL,22,Android,1,0,1,0
109,17691,CL,22,Web,1,0,0,0
110,31464,AR,15,Web,1,1,0,0
111,19051,CO,11,Android,1,0,0,0
112,11253,CL,21,iOS,0,0,0,0
113,112771,BR,19,Android,1,1,1,0
114,65519,ES,11,Android,0,0,0,0
115,9630,FR,9,Android,0,0,1,0
116,34732,AR,11,iOS,1,0,0,0
117,7264,FR,16,Android,0,0,0,0
118,2604,CL,17,Android,0,0,0,0
119,63642,MX,18,Android,0,0,0,0
120,124316,PE,20,Android,0,0,0,0
121,44683,CL,16,Web,1,0,0,0
122,23820,AR,15,Android,1,0,0,0
123,295759,CO,20,Web,1,0,0,0
124,156938,CL,13,Web,1,0,0,0
125,9241,BR,16,Android,1,0,0,0
126,17091,CL,20,Web,0,0,0,0
127,21821,AR,9,iOS,0,0,0,0
128,12564,BR,22,iOS,1,0,0,0
129,43630,BR,15,iOS,1,1,0,0
130,4153,CL,11,Android,1,0,0,0
131,14647,CL,8,Windows,1,0,1,0
132,223961,PE,17,iOS,1,0,0,0
133,18475,CL,14,iOS,1,0,0,0
134,62350,BR,8,Android,1,0,0,0
135,60725,CL,12,iOS,1,0,0,0
136,7963,BR,16,Android,1,0,0,0
137,124513,CL,13,Android,1,0,0,0
138,6186,CO,19,Web,1,0,0,0
139,65410,CL,16,Web,0,0,0,0
140,5410,CL,10,Android,0,0,0,0
141,221058,CL,19,Android,1,0,0,0
142,233610,MX,20,iOS,0,0,0,0
143,269503,CL,16,Android,0,0,0,0
144,45148,CL,10,iOS,0,1,0,0
145,125657,BR,11,Web,0,0,0,0
146,15225,BR,12,iOS,1,0,0,0
147,24839,CL,12,Android,0,0,0,0
148,32214,PE,22,iOS,0,0,0,0
149,8773,CO,13,Web,0,0,0,0
150,20353,BR,11,Android,0,1,0,0
151,4277,CL,13,iOS,1,0,0,0
152,40248,CL,8,iOS,1,1,0,0
153,16416,CL,22,Android,1,0,0,0
154,19897,DE,16,iOS,1,1,0,0
155,59125,CL,15,Web,0,0,0,0
156,27938,CL,9,iOS,1,0,0,0
157,30522,MX,15,Web,0,0,0,0
158,11151,CL,7,iOS,0,0,0,0
159,85267,BR,9,iOS,0,0,0,0
160,32370,MX,8,Android,1,0,0,0
161,45756,CL,20,iOS,1,0,0,0
162,27019,AR,7,iOS,1,0,0,0
163,10135,BR,8,Android,0,0,0,0
164,17589,CL,9,iOS,0,0,0,0
165,25285,BR,22,Android,0,0,0,0
166,88401,AR,10,Android,0,0,0,0
167,54678,AR,10,iOS,0,0,0,0
168,5922,BR,22,Android,0,0,0,0
169,4419,CL,12,Android,1,0,0,0
170,31880,AR,17,iOS,0,0,0,0
171,50893,US,20,Web,0,0,0,0
172,28420,US,14,iOS,0,0,1,0
173,189030,CO,7,Web,1,1,0,0
174,9938,PE,14,Android,0,0,0,0
175,34392,CL,12,Web,0,0,0,0
176,212307,CL,19,Android,0,0,0,0
177,70530,PE,22,Android,1,0,0,0
178,30932,BR,18,iOS,1,0,0,0
179,55234,PE,16,Web,1,0,0,0
180,5785,US,8,Android,0,0,0,0
181,9705,CL,16,Android,1,0,0,0
182,115227,AR,11,Android,0,0,1,0
183,70562,AR,9,iOS,0,0,0,0
184,44937,CL,18,Android,1,0,0,0
185,78990,PE,16,iOS,1,0,0,0
186,3527,AR,9,Android,1,0,0,0
187,50000,US,0,iOS,6,1,1,1
188,37039,CO,22,Web,1,0,0,0
189,47799,AR,19,Web,1,0,0,0
190,80426,BR,21,iOS,1,0,1,0
191,37631,AR,16,Android,0,0,0,0
192,37702,CL,19,iOS,0,0,0,0
193,32750,CL,8,Web,1,0,0,0
194,238946,PE,20,Web,1,0,0,0
195,83723,PE,14,Android,0,0,0,0
196,77511,CL,11,iOS,0,1,0,0
197,37772,US,16,iOS,0,0,0,0
198,2550,PE,16,Web,1,0,0,0
199,149513,AR,20,Web,1,0,0,0
200,6349,CO,13,iOS,0,0,0,0
201,107303,CL,9,iOS,0,0,0,0
202,12627,CL,14,Android,0,0,0,0
203,289488,CL,20,Web,0,0,0,0
204,411572,FR,5,Android,8,1,1,1
205,40450,MX,15,iOS,0,0,0,0
206,39709,CL,15,Android,0,0,0,0
207,35743,AR,22,Android,0,0,0,0
208,12988,MX,17,Android,0,1,0,0
209,10025,MX,11,Android,0,0,0,0
210,21841,AR,9,iOS,1,0,0,0
